"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"banepartner.no","banepartner.no","http://banepartner.no","","Jernbaneverket","","Yes","dotgov","No","No","No","","","","","","No"
"baneproduksjon.no","baneproduksjon.no","http://baneproduksjon.no","","Jernbaneverket","","Yes","dotgov","No","No","No","","","","","","No"
"banetilsyn.no","banetilsyn.no","http://banetilsyn.no","","Statens Jernbanetilsyn","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"banetilsynet.no","banetilsynet.no","http://banetilsynet.no","","Statens Jernbanetilsyn","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"barentsplus.no","barentsplus.no","http://www.barentsplus.no","","Universitetet I Tromsø - Norges Arktiske Universitet","","No","dotgov","No","No","No","","","","","","No"
"barentsportal.no","barentsportal.no","http://barentsportal.no","","Norsk Polarinstitutt","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"barentswatch.no","barentswatch.no","https://www.barentswatch.no","","Kystverket","","No","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"barnascinematek.no","barnascinematek.no","http://barnascinematek.no","","Norsk Filminstitutt","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"barnasverdensdager.no","barnasverdensdager.no","http://www.barnasverdensdager.no","","Rikskonsertene","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"barneansvarlig.no","barneansvarlig.no","http://barneansvarlig.no","","Sørlandet Sykehus Hf","","Yes","dotgov","No","No","No","","","","","","No"
"barnebortfoering.no","barnebortfoering.no","http://barnebortfoering.no","","Justis- og Beredskapsdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"barnebortforing.no","barnebortforing.no","http://barnebortforing.no","","Justis- og Beredskapsdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"barnediabetes.no","barnediabetes.no","http://barnediabetes.no","","Oslo Universitetssykehus Hf","","Yes","dotgov","No","No","No","","","","","","No"
"barnefattigdom.no","barnefattigdom.no","http://barnefattigdom.no","","Barne-, Ungdoms- og Familiedirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
"barnehagefakta.no","barnehagefakta.no","http://barnehagefakta.no","","Utdanningsdirektoratet","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"barnehagefilm.no","barnehagefilm.no","http://www.barnehagefilm.no","","Høgskulen I Volda","","No","dotgov","No","No","No","","","","","","No"
"barnehageprisen.no","barnehageprisen.no","http://www.barnehageprisen.no","","Universitetet I Nordland","","Yes","dotgov","No","No","No","","","","","","No"
"barnehuset-trondheim.no","barnehuset-trondheim.no","http://barnehuset-trondheim.no","","Sør-Trøndelag Politidistrikt","","No","dotgov","No","No","No","","","","","","No"
"barnehusethamar.no","barnehusethamar.no","http://barnehusethamar.no","","Hedmark Politidistrikt","","No","dotgov","No","No","No","","","","","","No"
"barneombodet.no","barneombodet.no","http://barneombodet.no","","Barneombudet","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"barneombudet.no","barneombudet.no","http://barneombudet.no","","Barneombudet","","No","dotgov","No","No","No","","","","","","No"
"barnevernet.no","barnevernet.no","http://barnevernet.no","","Barne-, Ungdoms- og Familiedirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
