"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"fridalen.no","fridalen.no","http://www.fridalen.no","","Fridalen Sokn","Hordaland","No","dotgov","No","No","No","","","","","","No"
"fridalenmenighet.no","fridalenmenighet.no","http://www.fridalenmenighet.no","","Fridalen Sokn","Hordaland","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"friervest.no","friervest.no","http://www.friervest.no","","Bamble Kommune","Telemark","No","dotgov","No","No","No","","","","","","No"
"frigo.no","frigo.no","http://www.frigo.no","","Oslo Kommune Bydel 1 Gamle Oslo","Oslo","No","dotgov","No","No","No","","","","","","No"
"frihandelsavtaler.no","frihandelsavtaler.no","http://frihandelsavtaler.no","","Nærings- og Fiskeridepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"friluftsfyret-kvassheim.no","friluftsfyret-kvassheim.no","http://friluftsfyret-kvassheim.no","","Jæren Friluftsråd","Rogaland","No","dotgov","No","No","No","","","","","","No"
"friluftsfyret.no","friluftsfyret.no","http://friluftsfyret.no","","Jæren Friluftsråd","Rogaland","No","dotgov","No","No","No","","","","","","No"
"friluftsliviskolen.no","friluftsliviskolen.no","http://friluftsliviskolen.no","","Miljødirektoratet","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"friluftsmuseum.no","friluftsmuseum.no","http://friluftsmuseum.no","","Stiftelsen Lillehammer Museum","Oppland","No","dotgov","No","No","No","","","","","","No"
"friluftsrad-dalane.no","friluftsrad-dalane.no","http://friluftsrad-dalane.no","","Dalane Friluftsråd","Rogaland","No","dotgov","No","No","No","","","","","","No"
"friogfrisk.no","friogfrisk.no","http://friogfrisk.no","","Regionrådet For Hallingdal","Buskerud","No","dotgov","No","No","No","","","","","","No"
"friport.no","friport.no","http://friport.no","","Oslo Kommune Velferdsetaten","Oslo","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"frisc.no","frisc.no","http://www.frisc.no","","Høgskolen I Gjøvik","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"frisk-i-friluft.no","frisk-i-friluft.no","http://www.frisk-i-friluft.no","","Rogaland Fylkeskommune","Rogaland","No","dotgov","No","No","No","","","","","","No"
"friskifriluft.no","friskifriluft.no","http://www.friskifriluft.no","","Rogaland Fylkeskommune","Rogaland","No","dotgov","No","No","No","","","","","","No"
"friskliv-eidskog.no","friskliv-eidskog.no","http://friskliv-eidskog.no","","Eidskog Kommune","Hedmark","No","dotgov","No","No","No","","","","","","No"
"frisklivfinnoy.no","frisklivfinnoy.no","https://www.frisklivfinnoy.no","","Finnøy Kommune","Rogaland","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"frisklivfollo.no","frisklivfollo.no","http://www.frisklivfollo.no","","Oppegård Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"frisklivhr.no","frisklivhr.no","https://www.frisklivhr.no","","Hurum Kommune","Buskerud","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"frisklivhurum.no","frisklivhurum.no","http://www.frisklivhurum.no","","Hurum Kommune","Buskerud","Yes","dotgov","No","No","No","No","Yes","No","No","No","No"
"frisklivoppegard.no","frisklivoppegard.no","http://frisklivoppegard.no","","Oppegård Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"frisklivsportalen.no","frisklivsportalen.no","http://frisklivsportalen.no","","Åseral Kommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"frisklivssentralen.no","frisklivssentralen.no","https://frisklivssentralen.no","","Modum Kommune","Buskerud","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"friskunst.no","friskunst.no","http://friskunst.no","","Oseana Os Kunst- og Kultursenter Kf","Hordaland","Yes","dotgov","No","No","No","","","","","","No"
"friskusane.no","friskusane.no","http://friskusane.no","","Austrheim Kommune","Hordaland","Yes","dotgov","No","No","No","","","","","","No"
"fristedet.no","fristedet.no","http://www.fristedet.no","","Helsedirektoratet","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"fritidenmin.no","fritidenmin.no","http://fritidenmin.no","","Trondheim Kommune Kultur og Næring","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"fritidsparken.no","fritidsparken.no","http://fritidsparken.no","","Skien Fritidspark Kf","Telemark","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"frittsykehusvalg.no","frittsykehusvalg.no","http://frittsykehusvalg.no","","Helsedirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
"frittvalg.no","frittvalg.no","http://www.frittvalg.no","","Vest-Agder Fylkeskommune Sentraladministrasjon","Vest-Agder","Yes","dotgov","No","No","No","","","","","","No"
"fritzroed.no","fritzroed.no","http://fritzroed.no","","Time Kommune","Rogaland","No","dotgov","No","No","No","","","","","","No"
"frivillig-asker.no","frivillig-asker.no","http://www.frivillig-asker.no","","Asker Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"frivillig-frogner.no","frivillig-frogner.no","http://www.frivillig-frogner.no","","Oslo Kommune Bydel 5 Frogner","Oslo","Yes","dotgov","No","No","No","","","","","","No"
"frivillig-i-asker.no","frivillig-i-asker.no","http://www.frivillig-i-asker.no","","Asker Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"frivillig-oslo.no","frivillig-oslo.no","http://frivillig-oslo.no","","Oslo Kommune Bydel 9 Bjerke","Oslo","Yes","dotgov","No","No","No","","","","","","No"
"frivillig-sentral.no","frivillig-sentral.no","http://frivillig-sentral.no","","Tønsberg Kommune","Vestfold","No","dotgov","No","No","No","No","Yes","Yes","No","No","No"
"frivillig.no","frivillig.no","https://frivillig.no","","Kulturdepartementet","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"frivilligasker.no","frivilligasker.no","http://www.frivilligasker.no","","Asker Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"frivilligbaerum.no","frivilligbaerum.no","http://frivilligbaerum.no","","Bærum Kommune","Akershus","No","dotgov","No","No","No","","","","","","No"
"frivilligbors-baerum.no","frivilligbors-baerum.no","http://frivilligbors-baerum.no","","Bærum Kommune","Akershus","No","dotgov","No","No","No","","","","","","No"
"frivilligfauske.no","frivilligfauske.no","http://frivilligfauske.no","","Fauske Kommune","Nordland","No","dotgov","No","No","No","","","","","","No"
"frivilliggiske.no","frivilliggiske.no","http://www.frivilliggiske.no","","Giske Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"frivillighetogforebygging.no","frivillighetogforebygging.no","http://frivillighetogforebygging.no","","Holmestrand Kommune","Vestfold","Yes","dotgov","No","No","No","","","","","","No"
"frivillighetsportalen.no","frivillighetsportalen.no","http://www.frivillighetsportalen.no","","Oslo Kommune Velferdsetaten","Oslo","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"frivillighjelp.no","frivillighjelp.no","http://frivillighjelp.no","","Oslo Kommune Velferdsetaten","Oslo","No","dotgov","No","No","No","","","","","","No"
"frivilligiasker.no","frivilligiasker.no","http://frivilligiasker.no","","Asker Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"frivilligilarvik.no","frivilligilarvik.no","http://frivilligilarvik.no","","Larvik Kommune","Vestfold","No","dotgov","No","No","No","","","","","","No"
"frivilligjobb.no","frivilligjobb.no","http://frivilligjobb.no","","Oslo Kommune Velferdsetaten","Oslo","No","dotgov","No","No","No","","","","","","No"
"frivilligkvinesdal.no","frivilligkvinesdal.no","http://frivilligkvinesdal.no","","Kvinesdal Kommune","Vest-Agder","Yes","dotgov","No","No","No","","","","","","No"
